zona_eleitoral,codigo_zona_eleitoral,estado,municipio,codigo_municipio
0010,10,BA,SALVADOR,38490
0013,13,BA,SALVADOR,38490
0015,15,BA,SALVADOR,38490
0017,17,BA,SALVADOR,38490
0012,12,BA,SALVADOR,38490
0019,19,BA,SALVADOR,38490
0003,3,BA,SALVADOR,38490
0004,4,BA,SALVADOR,38490
0014,14,BA,SALVADOR,38490
0007,7,BA,SALVADOR,38490
0005,5,BA,SALVADOR,38490
0001,1,BA,SALVADOR,38490
0006,6,BA,SALVADOR,38490
0011,11,BA,SALVADOR,38490
0008,8,BA,SALVADOR,38490
0016,16,BA,SALVADOR,38490
0181,181,BA,SANTA BRÍGIDA,38539
0160,160,BA,SANTA BÁRBARA,38512
0121,121,BA,SANTA CRUZ CABRÁLIA,38555
0029,29,BA,SANTA CRUZ DA VITÓRIA,38571
0038,38,BA,SANTA INÊS,38598
0133,133,BA,SANTA LUZIA,39870
0072,72,BA,SANTA MARIA DA VITÓRIA,38636
0097,97,BA,SANTA RITA DE CÁSSIA,35491
0107,107,BA,SANTA TEREZINHA,38695
0145,145,BA,SANTALUZ,38610
0099,99,BA,SANTANA,38652
0074,74,BA,SANTANÓPOLIS,38679
0178,178,BA,SANTO AMARO,38717
0056,56,BA,SANTO ANTÔNIO DE JESUS,38733
0202,202,BA,SANTO ANTÔNIO DE JESUS,38733
0143,143,BA,SANTO ESTEVÃO,38750
0142,142,BA,SAPEAÇU,38911
0178,178,BA,SAUBARA,38946
0115,115,BA,SAÚDE,38954
0088,88,BA,SEABRA,38970
0175,175,BA,SEBASTIÃO LARANJEIRAS,38997
0045,45,BA,SENHOR DO BONFIM,39012
0096,96,BA,SENTO SÉ,39039
0071,71,BA,SERRA DO RAMALHO,39047
0190,190,BA,SERRA DOURADA,39055
0155,155,BA,SERRA PRETA,39071
0150,150,BA,SERRINHA,39098
0046,46,BA,SERROLÂNDIA,39110
0033,33,BA,SIMÕES FILHO,39136
0066,66,BA,SOBRADINHO,39985
0174,174,BA,SOUTO SOARES,39152
0044,44,BA,SÁTIRO DIAS,38938
0100,100,BA,SÃO DESIDÉRIO,38776
0120,120,BA,SÃO DOMINGOS,38806
0184,184,BA,SÃO FELIPE,38814
0162,162,BA,SÃO FRANCISCO DO CONDE,38830
0118,118,BA,SÃO FÉLIX,38792
0072,72,BA,SÃO FÉLIX DO CORIBE,38822
0095,95,BA,SÃO GABRIEL,39896
0108,108,BA,SÃO GONÇALO DOS CAMPOS,38857
0166,166,BA,SÃO JOSÉ DA VITÓRIA,39926
0191,191,BA,SÃO JOSÉ DO JACUÍPE,38865
0036,36,BA,SÃO MIGUEL DAS MATAS,38873
0128,128,BA,SÃO SEBASTIÃO DO PASSÉ,38890
0071,71,BA,SÍTIO DO MATO,39144
0051,51,BA,SÍTIO DO QUINTO,39900
0190,190,BA,TABOCAS DO BREJO VELHO,39179
0058,58,BA,TANHAÇU,39195
0168,168,BA,TANQUE NOVO,39918
0160,160,BA,TANQUINHO,39217
0032,32,BA,TAPEROÁ,39233
0054,54,BA,TAPIRAMUTÁ,39250
0183,183,BA,TEIXEIRA DE FREITAS,39934
0130,130,BA,TEODORO SAMPAIO,39276
0123,123,BA,TEOFILÂNDIA,39292
0197,197,BA,TEOLÂNDIA,39314
0128,128,BA,TERRA NOVA,39330
0177,177,BA,TREMEDAL,39357
0080,80,BA,TUCANO,39373
0083,83,BA,UAUÁ,39390
0073,73,BA,UBAITABA,39438
0134,134,BA,UBATÃ,39454
0038,38,BA,UBAÍRA,39411
0159,159,BA,UIBAÍ,39470
0167,167,BA,UMBURANAS,39489
0116,116,BA,UNA,39497
0117,117,BA,URANDI,39519
